"","it1","it2","it3","it4","it5","it6","it7","it8","it9","it10","it11","it12","it13","it14","it15","it16","it17","it18","it19","it20","it21","it22","it23","it24","it25","it26","it27","it28","it29","it30"
"1TP",19,19,19,17,15,14,13,13,12,12,11,11,12,10,9,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8
"2TP",17,16,13,12,11,10,8,9,7,7,7,7,6,6,6,5,4,4,2,4,4,4,4,4,2,2,1,2,2,2
"3TP",19,17,16,16,12,12,12,11,11,11,11,9,8,9,9,10,10,10,10,9,8,9,9,9,9,9,8,6,8,6
"4TP",17,16,16,16,16,14,13,13,13,13,13,12,11,10,10,9,8,8,8,8,7,5,5,4,4,4,4,4,4,3
"5TP",26,23,21,21,19,18,18,17,17,14,11,12,11,7,7,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0
"1TN",111,113,116,122,130,134,143,145,147,147,148,154,158,159,161,161,159,159,167,167,168,164,163,168,165,168,170,168,170,171
"2TN",97,109,120,127,139,143,152,156,160,168,164,167,167,173,178,177,181,184,182,183,183,185,184,185,189,188,193,191,190,190
"3TN",114,120,125,128,133,133,132,134,136,135,134,139,144,143,144,145,148,145,149,150,152,152,153,155,156,157,158,161,159,162
"4TN",102,104,110,122,124,133,138,139,147,149,154,158,161,162,163,164,167,169,170,173,183,190,192,194,191,191,192,193,195,194
"5TN",73,79,75,83,98,101,109,113,115,130,130,132,143,164,169,175,182,186,192,197,200,198,201,202,202,201,201,202,202,202
"1FP",93,91,88,82,74,70,61,59,57,57,56,50,46,45,43,43,45,45,37,37,36,40,41,36,39,36,34,36,34,33
"2FP",113,101,90,83,71,67,58,54,50,42,46,43,43,37,32,33,29,26,28,27,27,25,26,25,21,22,17,19,20,20
"3FP",89,83,78,75,70,70,71,69,67,68,69,64,59,60,59,58,55,58,54,53,51,51,50,48,47,46,45,42,44,41
"4FP",104,102,96,84,82,73,68,67,59,57,52,48,45,44,43,42,39,37,36,33,23,16,14,12,15,15,14,13,11,12
"5FP",129,123,127,119,104,101,93,89,87,72,72,70,59,38,33,27,20,16,10,5,2,4,1,0,0,1,1,0,0,0
"1FN",12,12,12,14,16,17,18,18,19,19,20,20,19,21,22,21,21,21,21,21,21,22,22,22,22,23,23,23,23,23
"2FN",8,9,12,13,14,15,17,16,18,18,18,18,19,19,19,20,21,21,23,21,21,21,21,21,23,23,24,23,23,23
"3FN",14,16,17,17,21,21,21,22,22,22,22,24,25,24,24,23,23,23,23,24,25,24,24,24,24,24,25,27,25,27
"4FN",12,13,13,13,13,15,16,16,16,16,16,17,18,19,19,20,21,21,21,21,22,24,24,25,25,25,25,25,25,26
"5FN",7,10,12,12,14,15,15,16,16,19,22,21,22,26,26,28,29,31,33,32,33,33,33,33,33,33,33,33,33,33
