"","it1","it2","it3","it4","it5","it6","it7","it8","it9","it10","it11","it12","it13","it14","it15","it16","it17","it18","it19","it20","it21","it22","it23","it24","it25","it26","it27","it28","it29","it30"
"1TP",19,19,19,17,15,14,13,13,12,12,11,11,12,10,9,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8
"2TP",17,15,11,11,11,9,8,8,7,7,7,7,7,7,7,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3
"3TP",19,18,18,15,14,13,12,12,10,10,10,9,10,10,9,9,9,9,9,7,5,5,6,4,4,4,4,4,3,3
"4TP",17,18,15,15,15,14,14,11,9,9,6,5,5,5,5,4,3,3,4,3,1,1,1,1,1,1,1,0,0,0
"5TP",26,25,23,20,19,16,15,16,15,14,11,10,10,10,10,10,10,10,8,7,7,7,7,7,7,5,2,2,1,1
"1TN",111,113,116,122,130,134,143,145,147,147,148,154,158,159,161,161,159,159,167,167,168,164,163,168,165,168,170,169,171,177
"2TN",97,114,121,134,141,150,152,156,156,160,162,163,162,165,167,170,167,168,169,172,173,176,175,179,182,181,184,188,184,186
"3TN",114,117,124,127,127,130,132,134,137,141,144,148,146,148,146,151,154,155,159,162,165,164,162,165,165,172,167,167,166,168
"4TN",102,104,113,121,128,134,139,148,155,163,165,168,173,174,179,178,185,186,183,185,188,185,190,190,190,189,189,190,191,190
"5TN",73,84,89,104,117,131,136,134,137,136,145,152,153,156,158,163,166,167,177,176,175,174,176,177,181,184,189,191,194,194
"1FP",93,91,88,82,74,70,61,59,57,57,56,50,46,45,43,43,45,45,37,37,36,40,41,36,39,36,34,35,33,27
"2FP",113,96,89,76,69,60,58,54,54,50,48,47,48,45,43,40,43,42,41,38,37,34,35,31,28,29,26,22,26,24
"3FP",89,86,79,76,76,73,71,69,66,62,59,55,57,55,57,52,49,48,44,41,38,39,41,38,38,31,36,36,37,35
"4FP",104,102,93,85,78,72,67,58,51,43,41,38,33,32,27,28,21,20,23,21,18,21,16,16,16,17,17,16,15,16
"5FP",129,118,113,98,85,71,66,68,65,66,57,50,49,46,44,39,36,35,25,26,27,28,26,25,21,18,13,11,8,8
"1FN",12,12,12,14,16,17,18,18,19,19,20,20,19,21,22,21,21,21,21,21,21,22,22,22,22,23,23,23,23,23
"2FN",8,10,14,14,14,16,17,17,18,18,18,18,18,18,18,19,20,20,21,21,21,21,21,21,21,22,22,22,22,22
"3FN",14,15,15,18,19,20,21,21,23,23,23,24,23,23,24,24,24,24,24,26,28,28,27,29,29,29,29,29,30,30
"4FN",12,11,14,14,14,15,15,18,20,20,23,24,24,24,24,25,26,26,25,26,28,28,28,28,28,28,28,29,29,29
"5FN",7,8,10,13,14,17,18,17,18,19,22,23,23,23,23,23,23,23,25,26,26,26,26,26,26,28,31,31,32,32
