"","it1","it2","it3","it4","it5","it6","it7","it8","it9","it10","it11","it12","it13","it14","it15","it16","it17","it18","it19","it20","it21","it22","it23","it24","it25","it26","it27","it28","it29","it30"
"1TP",16,14,14,13,12,12,12,12,12,12,11,9,9,8,7,7,6,6,5,5,5,5,5,5,5,2,2,2,2,2
"2TP",14,15,12,12,12,12,12,12,12,11,11,11,11,11,8,11,8,8,8,8,7,7,7,7,7,7,7,7,7,7
"3TP",25,23,21,21,20,20,20,20,20,20,20,20,19,19,18,19,18,19,19,19,19,17,17,17,16,16,16,15,14,13
"4TP",22,22,22,22,21,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,17,17,16,15,14
"5TP",15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,15,14,16,16,16,16,16,16,16,16,15,14,14
"1TN",132,132,138,142,137,144,145,145,146,148,151,155,155,156,158,161,164,164,167,167,168,168,168,169,169,172,173,173,175,175
"2TN",108,131,136,140,138,140,140,139,141,140,140,140,140,140,144,140,143,144,143,145,149,151,150,153,153,153,153,153,153,153
"3TN",107,112,116,119,120,120,122,123,124,124,127,127,129,130,129,131,129,130,131,131,134,136,137,136,140,140,141,145,147,147
"4TN",113,121,123,123,116,120,120,119,119,120,120,120,120,120,120,120,120,120,120,120,120,120,124,130,130,127,127,133,134,137
"5TN",124,118,118,118,118,124,126,119,118,119,118,119,119,119,119,119,119,119,119,119,119,119,119,118,119,118,118,118,119,119
"1FP",72,72,66,62,67,60,59,59,58,56,53,49,49,48,46,43,40,40,37,37,36,36,36,35,35,32,31,31,29,29
"2FP",102,79,74,70,72,70,70,71,69,70,70,70,70,70,66,70,67,66,67,65,61,59,60,57,57,57,57,57,57,57
"3FP",96,91,87,84,83,83,81,80,79,79,76,76,74,73,74,72,74,73,72,72,69,67,66,67,63,63,62,58,56,56
"4FP",93,85,83,83,90,86,86,87,87,86,86,86,86,86,86,86,86,86,86,86,86,86,82,76,76,79,79,73,72,69
"5FP",78,84,84,84,84,78,76,83,84,83,84,83,83,83,83,83,83,83,83,83,83,83,83,84,83,84,84,84,83,83
"1FN",15,17,17,18,19,19,19,19,19,19,20,22,22,23,24,24,25,25,26,26,26,26,26,26,26,29,29,29,29,29
"2FN",11,10,13,13,13,13,13,13,13,14,14,14,14,14,17,14,17,17,17,17,18,18,18,18,18,18,18,18,18,18
"3FN",8,10,12,12,13,13,13,13,13,13,13,13,14,14,15,14,15,14,14,14,14,16,16,16,17,17,17,18,19,20
"4FN",7,7,7,7,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,12,12,13,14,15
"5FN",18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,18,19,17,17,17,17,17,17,17,17,18,19,19
